sc	rl	cl	kl	rh	ch	kh
2934	32.11	146.77	41.51	9	5	3
2935	60.61	157.41	84.59	11	7	4
2936	29.13	285.49	87.51	11	6	3
2937	64.35	143.69	168.09	18	4	4
2938	39.78	188.88	39.78	7	6	3
2939	50.42	232.56	143.64	10	6	6
2940	57.4	221.24	247.36	14	5	5
2941	61.25	252.33	61.25	15	8	2
2942	68.37	328.19	158.73	16	8	4
2943	16.79	145.97	16.79	8	5	2
2944	79.84	178.0	231.42	20	5	5
2945	46.63	197.33	104.97	13	5	3
2946	57.42	233.96	152.72	14	7	5
2947	57.07	449.13	215.69	15	8	6
2948	45.96	195.92	183.62	14	5	6
2949	70.24	206.32	93.64	12	6	3
2950	46.62	369.66	87.56	12	9	4
2951	17.66	168.16	359.9	10	4	11
2952	49.06	187.28	128.66	9	6	5
2953	57.29	128.21	75.47	14	4	3
2954	21.17	161.41	34.87	9	4	3
2955	26.1	220.36	70.22	10	8	3
2956	31.81	138.85	31.81	15	5	2
2957	41.71	207.25	134.31	14	6	5
2958	21.36	192.14	21.36	9	5	3
2959	29.71	344.47	187.91	11	8	6
2960	63.13	153.71	176.09	18	4	6
2961	64.84	148.58	174.5	13	5	5
2962	62.86	261.34	174.46	14	7	4
2963	25.83	262.17	25.83	10	7	2
2964	48.35	121.07	140.15	9	4	4
2965	52.67	119.27	82.79	9	4	3
2966	41.46	268.02	117.08	13	7	4
2967	43.97	101.19	565.55	14	5	12
2968	41.47	165.79	49.27	13	6	3
2969	47.91	292.03	58.25	10	8	3
2970	32.12	152.24	64.26	8	5	3
2971	48.54	186.3	186.8	11	4	5
2972	57.4	264.64	66.26	19	6	3
2973	11.72	223.7	121.64	8	7	4
2974	11.47	117.47	11.47	10	5	2
2975	28.35	340.89	28.35	8	8	2
2976	69.73	276.49	146.23	16	6	3
2977	6.85	106.37	127.79	3	4	5
2978	13.21	185.75	72.95	7	5	3
2979	40.76	169.3	275.78	10	6	7
2980	45.48	303.44	45.48	8	8	2
2981	67.55	144.79	253.53	13	5	7
2982	60.67	349.57	352.89	13	9	9
2983	35.92	131.64	140.36	11	4	3
2984	40.3	167.52	153.92	11	5	4
2985	28.89	363.83	28.89	12	8	2
2986	23.89	130.91	177.67	9	6	4
2987	37.26	233.14	55.8	13	5	3
2988	38.62	381.58	169.8	8	8	4
2989	47.54	177.16	195.28	10	6	6
2990	76.19	212.91	281.11	14	6	7
2991	3.29	169.29	188.25	4	4	5
2992	60.0	172.52	168.4	18	5	4
2993	59.38	230.96	136.96	14	6	3
2994	32.27	52.19	80.15	9	3	3
2995	56.41	278.25	329.97	13	8	9
2996	44.28	220.28	44.28	9	6	2
2997	53.29	103.63	96.85	9	4	4
2998	56.88	240.62	88.14	14	7	4
2999	16.83	258.39	16.83	10	8	2
3000	55.57	145.49	109.85	12	5	3
3001	12.9	233.44	96.34	11	7	3
3002	23.08	221.16	23.08	9	7	2
