sc	rl	cl	kl	rh	ch	kh
430	20.02	288.38	20.02	11	8	2
431	42.66	112.42	281.08	13	4	7
432	21.13	200.07	359.33	7	5	9
433	2.1	127.76	277.76	4	4	9
434	48.9	118.82	74.54	12	4	3
435	59.53	171.79	723.73	12	5	22
436	50.91	163.91	107.99	13	5	5
437	36.31	154.33	36.31	12	6	2
438	62.14	102.22	932.22	15	5	28
439	57.06	123.6	961.96	13	4	23
440	53.86	163.88	65.04	15	5	3
441	27.23	210.53	185.17	12	7	7
442	39.7	321.6	39.7	11	6	2
443	35.53	35.53	206.03	11	2	5
444	35.85	179.69	281.13	11	7	8
445	51.82	358.14	51.82	10	10	2
446	60.82	179.82	926.66	13	4	19
447	61.94	174.0	107.52	15	5	3
448	45.97	215.55	263.09	13	7	6
449	48.02	48.02	248.44	10	2	6
450	13.21	138.17	155.19	5	5	4
451	70.8	112.82	81.98	16	5	3
452	38.38	126.28	273.78	13	6	9
453	50.19	210.23	50.19	12	5	2
454	43.8	81.56	173.26	14	4	5
455	60.61	190.35	139.05	13	5	4
456	25.44	361.1	25.44	9	9	2
457	24.28	131.14	24.28	17	3	2
458	1.88	260.4	987.22	3	6	23
459	62.17	216.87	101.55	13	7	4
460	61.78	243.04	234.26	14	7	8
461	29.33	326.63	184.39	10	9	5
462	60.29	243.09	681.75	14	6	17
463	40.67	166.51	76.51	9	5	3
464	53.19	341.61	114.61	13	7	3
465	58.06	291.1	296.88	11	6	10
466	28.19	320.81	232.21	10	7	6
467	42.44	219.14	74.54	10	7	3
468	34.8	325.46	176.14	8	7	6
469	41.9	270.88	41.9	8	8	2
470	75.14	99.32	313.06	16	4	11
471	57.72	262.9	1173.38	15	8	29
472	51.95	104.07	543.71	14	6	12
473	13.2	94.44	892.88	5	4	21
474	55.65	55.65	310.35	13	2	9
475	31.74	426.84	851.14	12	8	24
476	58.53	146.69	362.41	13	5	9
477	26.2	164.32	436.66	10	6	14
478	69.6	202.64	288.28	15	5	7
479	58.7	295.9	266.08	17	8	8
480	51.74	296.64	272.18	10	7	8
481	2.2	237.36	2.2	3	6	2
482	67.06	240.36	365.9	15	5	9
483	10.89	170.19	420.69	8	4	12
484	12.65	230.55	845.59	8	7	20
485	39.67	233.07	334.53	10	8	9
486	53.93	312.27	57.05	15	9	3
487	45.94	151.8	155.66	12	4	4
488	24.24	238.94	947.12	12	7	26
489	71.19	212.35	219.01	13	5	7
490	7.98	155.5	518.08	7	6	15
491	36.43	236.71	578.15	7	6	13
492	44.87	252.65	111.93	7	6	3
493	11.76	166.92	41.48	9	7	3
494	46.4	172.74	66.46	13	6	3
495	59.56	223.48	264.54	17	6	8
496	49.11	307.63	114.85	19	7	4
497	35.69	145.17	342.35	14	4	11
498	37.63	206.31	141.45	10	5	5
499	31.0	252.9	120.8	10	7	5
500	33.3	292.54	135.84	10	7	5
501	36.83	130.11	311.71	10	5	8
502	26.99	248.99	282.99	9	6	8
503	10.98	166.42	604.02	6	5	13
504	41.82	218.0	172.58	12	6	5
505	46.91	261.57	235.19	9	7	7
506	60.71	109.99	79.79	14	3	3
507	72.82	81.32	119.6	17	3	3
508	6.77	72.55	535.79	5	3	14
509	56.28	136.74	283.56	13	4	9
510	58.53	189.43	182.05	11	4	4
511	13.64	342.72	426.68	9	7	10
512	55.64	143.96	55.64	13	5	2
513	8.51	119.57	126.85	8	5	3
514	58.24	234.42	118.06	14	7	4
515	68.9	173.42	81.9	14	6	3
516	49.41	112.11	554.37	9	6	11
517	42.92	284.68	83.1	12	7	3
518	62.27	335.59	557.55	16	8	13
519	20.38	332.66	20.38	10	8	2
520	69.71	254.69	216.19	18	6	5
521	57.39	110.37	130.81	12	5	4
522	51.41	221.93	51.41	13	6	2
523	41.29	186.53	68.47	10	5	3
524	54.91	199.69	276.53	15	6	8
525	69.51	214.19	653.33	15	7	18
526	54.01	155.01	1062.21	11	5	27
527	79.76	341.76	79.76	15	8	2
528	23.94	143.32	558.8	11	5	15
529	56.97	380.91	280.47	13	7	6
