cycle	rlat	clat	klat	rhop	chop	khop	hopcat	latcat
1035	8.72	8.72	8.72	3	2	2	2	1
1036	9.32	9.32	9.32	3	2	2	2	1
1037	3.56	42.9	3.56	2	3	2	2	1
1038	14.5	14.5	14.5	3	2	2	2	1
1039	24.61	24.61	24.61	5	2	2	3	2
1040	4.15	4.15	4.15	2	2	2	1	1
1041	10.35	18.65	10.35	2	3	2	2	1
1042	26.14	33.24	26.14	5	3	2	1	2
1043	4.15	43.49	4.15	2	4	2	1	1
1044	22.97	31.27	22.97	3	3	2	2	2
1045	31.23	31.23	31.23	4	2	2	3	2
1046	34.71	44.87	34.71	4	3	2	2	3
1047	8.72	8.72	8.72	3	2	2	2	1
1048	38.02	38.02	38.02	4	2	2	1	3
1049	23.22	46.7	23.22	5	3	2	3	2
1050	5.08	54.3	5.08	2	3	2	2	1
1051	26.78	60.42	26.78	6	3	2	2	2
1052	26.14	33.24	26.14	5	3	2	1	2
1053	30.73	30.73	30.73	5	2	2	1	2
1054	29.69	29.69	29.69	6	2	2	2	2
1055	15.89	15.89	15.89	3	2	2	2	1
1056	3.55	3.55	3.55	2	2	2	1	1
1057	8.72	8.72	8.72	3	2	2	2	1
1058	9.32	9.32	9.32	3	2	2	2	1
1059	47.34	47.34	47.34	6	2	2	2	3
1060	4.15	4.15	4.15	2	2	2	1	1
1061	32.29	32.29	32.29	5	3	2	3	2
1062	27.17	45.81	27.17	4	3	2	2	2
1063	4.15	43.49	4.15	2	4	2	1	1
1064	29.69	29.69	29.69	6	2	2	2	2
1065	47.34	47.34	47.34	6	2	2	2	3
1066	16.18	70.52	16.18	3	3	2	2	1
1067	21.06	28.16	21.06	4	3	2	2	2
1068	15.89	33.33	15.89	3	3	2	2	1
1069	26.14	26.14	26.14	5	2	2	1	2
1070	3.56	42.9	3.56	2	3	2	2	1
1071	24.61	24.61	24.61	5	2	2	3	2
1072	29.69	29.69	29.69	6	2	2	2	2
1073	39.79	39.79	39.79	5	2	2	3	3
1074	21.06	48.88	21.06	4	3	2	2	2
1075	5.08	5.08	5.08	2	2	2	2	1
1076	35.84	35.84	35.84	6	3	2	3	3
1077	10.35	28.99	10.35	2	3	2	2	1
1078	35.84	35.84	35.84	6	3	2	3	3
1079	22.09	68.55	22.09	3	4	2	1	2
1080	32.29	32.29	32.29	5	2	2	3	2
1081	5.17	12.27	5.17	2	3	2	3	1
1082	29.69	29.69	29.69	6	2	2	2	2
1083	18.06	18.06	18.06	4	2	2	3	2
1084	10.35	18.65	10.35	2	3	2	2	1
1085	42.17	42.17	42.17	5	2	2	2	3
1086	24.61	24.61	24.61	5	2	2	3	2
1087	23.22	46.7	23.22	5	3	2	3	2
1088	12.87	12.87	12.87	4	3	2	2	1
1089	22.97	41.61	22.97	3	4	2	2	2
1090	26.78	82.12	26.78	6	3	2	2	2
1091	32.29	32.29	32.29	5	2	2	3	2
1092	31.23	31.23	31.23	4	2	2	3	2
1093	27.67	34.79	27.67	3	3	2	3	2
1094	27.17	45.81	27.17	4	3	2	2	2
1095	29.69	29.69	29.69	6	2	2	2	2
1096	11.74	58.2	11.74	2	4	2	3	1
1097	3.56	3.56	3.56	2	2	2	2	1
1098	12.87	12.87	12.87	4	2	2	2	1
1099	35.84	35.84	35.84	6	3	2	3	3
1100	50.89	50.89	50.89	7	3	2	1	3
1101	11.74	58.2	11.74	2	4	2	3	1
1102	23.22	23.22	23.22	5	2	2	3	2
1103	23.22	46.7	23.22	5	3	2	3	2
1104	10.35	28.99	10.35	2	3	2	2	1
1105	32.29	32.29	32.29	5	3	2	3	2
1106	8.72	8.72	8.72	3	2	2	2	1
1107	23.22	46.7	23.22	5	3	2	3	2
1108	21.06	28.16	21.06	4	3	2	2	2
1109	25.65	25.65	25.65	4	2	2	1	2
1110	54.84	73.48	54.84	6	3	2	2	3
1111	26.14	33.24	26.14	5	3	2	1	2
1112	27.12	27.12	27.12	4	2	2	1	2
1113	22.09	22.09	22.09	3	2	2	1	2
1114	21.06	48.88	21.06	4	3	2	2	2
1115	15.89	33.33	15.89	3	3	2	2	1
1116	27.12	68.04	27.12	4	4	2	1	2
1117	27.17	45.81	27.17	4	3	2	2	2
1118	26.14	33.24	26.14	5	3	2	1	2
1119	15.05	69.29	15.05	2	3	2	2	1
1120	26.14	26.14	26.14	5	2	2	1	2
1121	11.74	20.04	11.74	2	3	2	3	1
1122	26.14	33.24	26.14	5	3	2	1	2
1123	13.91	22.21	13.91	3	3	2	3	1
1124	15.89	15.89	15.89	3	2	2	2	1
1125	21.06	48.88	21.06	4	3	2	2	2
1126	54.84	109.08	54.84	6	4	2	2	3
1127	3.56	42.9	3.56	2	3	2	2	1
1128	16.82	71.06	16.82	3	4	2	3	1
1129	14.5	55.42	14.5	3	4	2	2	1
1130	15.89	15.89	15.89	3	2	2	2	1
1131	54.84	73.48	54.84	6	3	2	2	3
1132	22.97	31.27	22.97	3	3	2	2	2
1133	9.32	9.32	9.32	3	2	2	2	1
1134	20.97	38.41	20.97	4	3	2	3	2
1135	26.78	60.42	26.78	6	3	2	2	2
1136	19.67	19.67	19.67	4	2	2	3	2
1137	16.82	35.46	16.82	3	3	2	3	1
1138	22.97	31.27	22.97	3	3	2	2	2
1139	32.29	32.29	32.29	5	2	2	3	2
1140	50.89	50.89	50.89	7	2	2	1	3
1141	26.14	26.14	26.14	5	2	2	1	2
1142	20.97	38.41	20.97	4	3	2	3	2
1143	9.32	9.32	9.32	3	2	2	2	1
1144	23.22	46.7	23.22	5	3	2	3	2
1145	16.18	70.52	16.18	3	3	2	2	1
1146	35.84	35.84	35.84	6	3	2	3	3
1147	42.17	42.17	42.17	5	2	2	2	3
1148	24.61	24.61	24.61	5	2	2	3	2
1149	25.65	25.65	25.65	4	2	2	1	2
1150	27.17	27.17	27.17	4	3	2	2	2
1151	22.97	31.27	22.97	3	3	2	2	2
1152	16.82	71.06	16.82	3	4	2	3	1
1153	49.76	56.88	49.76	5	3	2	3	3
1154	16.82	35.46	16.82	3	3	2	3	1
1155	18.06	18.06	18.06	4	2	2	3	2
1156	20.97	38.41	20.97	4	3	2	3	2
1157	29.69	29.69	29.69	6	2	2	2	2
1158	8.72	8.72	8.72	3	2	2	2	1
1159	31.23	31.23	31.23	4	2	2	3	2
1160	5.08	54.3	5.08	2	3	2	2	1
1161	22.09	68.55	22.09	3	4	2	1	2
1162	21.06	28.16	21.06	4	3	2	2	2
1163	30.73	30.73	30.73	5	2	2	1	2
1164	10.35	28.99	10.35	2	3	2	2	1
1165	19.67	19.67	19.67	4	2	2	3	2
1166	11.74	58.2	11.74	2	4	2	3	1
1167	29.69	29.69	29.69	6	2	2	2	2
1168	24.61	24.61	24.61	5	2	2	3	2
1169	26.14	26.14	26.14	5	2	2	1	2
1170	22.97	41.61	22.97	3	4	2	2	2
1171	14.5	55.42	14.5	3	4	2	2	1
